Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Pantene,Hair care brand.,"Pantene is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Pantene products. Don't sell Pantene products. Don't work for Pantene.,Supermarket own brand products.,https://logowik.com/content/uploads/images/865_pantene.jpg
Procter & Gamble,American multinational consumer goods corporation.,"Procter and Gamble opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy P&G products. Don't sell P&G products. Don't work for P&G.,"Supermarket own brand products. Eg. Aldi, Lidl.",https://logowik.com/content/uploads/images/108_procterandgamble.jpg
Rexona,Personal healthcare brand.,"Rexona is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Rexona products. Don't sell Rexona products. Don't work for Unilever.,Unbranded oil based fragrances. Supermarket own brand products. Sunnamusk.,https://cdn.sanity.io/images/92ui5egz/production/d806c6c7edf6271cb15478eae7c34485f4f35d41-1080x1080.jpg?w=375&h=375&fit=crop&auto=format
Seven Seas,"Vitamins, minerals, and supplement products.","Seven Seas is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Seven Seas products. Don't sell Seven Seas products. Don't work for Seven Seas.,Supermarket own brand products.,https://static.wikia.nocookie.net/logopedia/images/2/24/Seven_Seas_%28vitamins%29_1.png
Sudocrem,"Moisturising cream owned by Israeli pharmaceuticals giant, Teva.",Teva Pharmaceuticals operates in Occupied Palestine,https://www.tevauk.com/patients/our-therapy-areas/consumer-healthcare/,Don't buy Sudocrem products. Don't sell Sudocrem products.,Supermarket own brand products. Pharmacy own brand products. Ask pharmacist for non Teva alternatives.,https://www.chemist.net/pub/media/brand/sudocrem_bd37.jpg
Tampax,Personal care products.,"Tampax is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Tampax products. Don't sell Tampax products. Don't work for Tampax.,Supermarket own brand products.,https://logowik.com/content/uploads/images/tampax3061.jpg
Tresemme,Self care brand owned by Unilever.,"Tresemme is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Tresemme products. Don't sell Tresemme products. Don't work for Unilever.,Supermarket own branded products. Lush cosmetics.,https://assets.stickpng.com/images/5a393116c488ac6062ac2ad2.png
Venus,"Personal care products for women, by Gillette","Venus is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Venus products. Don't sell Venus products. Don't work for Venus.,Supermarket own brand products.,"https://m.media-amazon.com/images/S/aplus-media/vc/df9fce60-bbdd-47a9-9971-8f79194b46cc._CR0,0,300,300_PT0_SX300__.jpg"
Vicks,Decongestant procucts.,"Vicks is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Vicks products. Don't sell Vicks products. Don't work for Vicks.,Supermarket own brand products.,https://images.ctfassets.net/xuuihvmvy6c9/5R9Uu2Vwa9vtDltACu79Tt/cabf9fbffcc32f7aae7b16088a1030fd/p-1994-XXL_2x.png
Walmart,"American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores.","Walmart was quick to pledge $1m to Israeli victims and condemned Hamas, however did not donate anything towards charities operating in Gaza for the victims of Israel's genocide.",https://www.jpost.com/business-and-innovation/article-770698,Dont shop at Walmart. Don't work for Walmart.,Local small supermarkets.,https://media.designrush.com/inspiration_images/345908/conversions/walmart_1-preview.jpg
