Name,Description,Reason,Proof,How to Boycott,Alternatives
American Eagle,American clothing and accessories retailer headquartered at SouthSide Works in Pittsburgh.,American Eagle posted an image of the Israeli Flag on their flagship billboard in Times Square showing their support for the apartheid state.,https://www.linkedin.com/posts/craig-brommers-616b1b1_our-updated-american-eagle-times-square-flagship-activity-7116923792202833920-jt6L?utm_source=share&utm_medium=member_desktop,Dont buy products from American Eagle Outfitters. Don't work for American Eagle Outfitters.,Buy non designer products.
Amika,Hair care brand.,Manufactured on occupied Palestinian land.,https://heatmakessense.zendesk.com/hc/en-us/articles/4406612273563-Where-are-amika-products-made-,Don't buy Amika products. Don't sell Amika products.,Supermarket own brand products. Lush cosmetics.
Appletiser,Soft drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Appletiser, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Appletiser. Don't sell Appletiser. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru)."
Aquafina,Water brand owned by PepsiCo,"The owner of Aquafina, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Aquafina products. Don't sell Aquafina products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye)."
Aquarius,Water brand owned by the Coca Cola company.,"Coca-Cola Company which owns Aquarius, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Aquarius. Don't sell Aquarius. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye)."
Ariel,Household cleaning products.,"Ariel is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Ariel products. Don't sell Ariel products. Don't work for Ariel.,Supermarket own brand products.
Aussie,Hair care brand.,"Aussie is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy aussie products. Don't sell aussie products. Don't work for aussie.,Supermarket own brand products. Lush cosmetics.
Aviva,Britains largest general insurer and a leading life and pensions provider.,Aviva invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't keep your pension with Aviva. Don't use Aviva insurance products. Don't work for Aviva.,Search for local ethical investment providers and insurers.
AXA,AXA is a French multinational insurance firm.,AXA continues to invest in Israeli banks which are complicit in Israels occupation and apartheid in Palestine.,https://bdsmovement.net/news/axa-continues-investments-in-israeli-apartheid-boycott-axa-now,"Don't take insurance from Axa. If you already have AXA insurance, switch as soon as you can. Don't work for AXA.",
Axe,Deodorant brand.,"Axe is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Axe products. Don't sell Axe products. Don't work for Unilever.,Unbranded oil based fragrances. Lush cosmetics. Supermarket own brand products. Sunnamusk.
BAE Systems,BAE Systems is a weapons manufacturer based in the UK.,BAE Systems supplies many military hardware and software items to the Israeli Air Force. Including parts of the F-35 fighter jet and flares used in many of the aircraft.,https://www.baesystems.com/en/product/electronic-warfare-and-support-equipment#:~:text=BAE%20Systems%20Rokar%20is%20the%20sole%20supplier%20of%20these%20systems%20to%20the%20Israeli%20Air%20Force.,Don't work for BAE Systems.,Work for an engineering company that has no involvement in producing weapons used in israel.
Bank of America,American multinational investment bank and financial services provider,"Bank of America was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with Bank of America. Don't work for Bank of America. Don't invest with Bank of America.,
Bank of Montreal,Canadian multinational investment bank and financial services company,"Bank of Montreal lent $90 million as part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with Bank of Montreal. Don't work for Bank of Montreal. Don't invest with Bank of Montreal.,
Barclays,"British multinational universal bank, headquartered in London.",Barclays invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians,https://www.ethicalconsumer.org/money-finance/israel-deadly-investments,Don't bank with Barclays. Close your Barclays accounts. Don't use Barclays lending options. Cancel your Barclaycard. Don't work for Barclays.,TSB Bank. Monzo Bank.
Bath & Body Works,"Sells soaps, lotions, fragrances, and candles.","Les Wexner who owns L Brands, the parent company of Bath&Body Works, is a staunch ally of Israel, and a long time business partner of Jeffrey Epstein, the convicted child trafficker.",https://www.timesofisrael.com/the-relationship-between-epstein-and-jewish-philanthropist-wexner-explained/,Don't buy Bath&Body Works products. Don't work for Bath&Body Works.,Lush cosmetics. Unbranded oil based perfumes. Sunnamusk.
Bayer Pharmaceuticals,"Pharmaceuticals, drugs and medicines manufacturer based in Germany.",Bayer Pharmaceuticals invests in Israel.,https://www.timesofisrael.com/pharma-giant-bayer-scouts-israeli-startup-scene-in-search-of-competitive-edge/,Don't buy Bayer Pharmaceuticals products. Don't sell Bayer Pharmaceuticals products. Check the details on packaging before you buy over the counter. Don't prescribe Bayer Pharmaceuticals products.,Ask pharmacist for non Bayer alternatives.
Ben & Jerry's,Ice cream brand owned by Unilever.,"Ben & Jerry's is owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Ben & Jerry's products. Don't sell Ben & Jerry's products. Don't work for Unilever.,Supermarket own brand products.
Benefit Cosmetics,Cosmetics brand owned by LVMH,LVMH owner Bernard Arnault invests in Israeli companies,https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Benefit Costmetics products. Don't sell Benefit Costmetics products. Don't work for Benefit Costmetics.,Lush cosmetics. Huda beauty.
BIOTHERM,"Beauty brand, owned by L'Oreal.","BIOTHERM is a brand owned by L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy BIOTHERM products. Don't sell BIOTHERM products. Don't work for L'Oreal Groupe.,Lush cosmetics.
BNP Paribas,French multinational universal bank and financial services holding company,"BNP Paribas was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with BNP Paribas. Don't work for BNP Paribas. Don't invest with BNP Paribas.,
Bobbi Brown,"Cosmetics company, owned by Estee Lauder.","Bobbi Brown is owned by Estee Lauder, who's ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,"Dont buy products from the vast catalogue of Estee Lauder. Brands include MAC cosmetics, Clinique, Bobbi Brown, Jo Malone, La Mer, Tom Ford Beauty and many more. Don't work for Estee Lauder brands.",Lush cosmetics. Huda beauty.
Boeing,Boeing is responsible for military and aerospace products and services.,"Provides Israel with Hellfire missiles, F-15 Eagle fighter jets, MK84 2000-lb bombs and Apache helicopters.",https://investigate.afsc.org/company/boeing,Don't work for Boeing.,Work for an engineering firm which doesn't manufacture weapons used by israel.
Bold,Household cleaning products.,"Bold is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Bold products. Don't sell Bold products. Don't work for Bold.,Supermarket own brand products.
Booking.com,Booking.com is a platform for renting out properties.,"Booking.com allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't rent property on Booking.com. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list property on Booking.com. Don't work for Booking Holdings.,halalbooking.com.
BP (British Petroleum),BP is a British oil and gas company,"BP was recently awarded exploration rights off the coast of israel, which would include water which should be Palestinian controlled.",https://www.reuters.com/business/energy/israel-awards-gas-exploration-licences-eni-bp-four-others-2023-10-29/,Don't use fuel from BP. Don't work for BP. Don't shop at BP forecourts.,Shell (divested from israel).
Braun,Personal care products.,"Braun is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Braun products. Don't sell Braun products. Don't work for Braun.,Supermarket own brand products.
Bulgari / Bvlgari,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Bulgari's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Bulgari products. Don't sell Bulgari products. Don't work for Bulgari or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.
Burger King,International fast food chain,Burger King Israel supports IDF by providing free food and drinks to Israeli militants. See their instagram post (click translate) for reference.,https://www.instagram.com/p/CyORRWHIqeH/,Dont eat at Burger King. Don't work for Burger King.,Eat at local family owned businesses.
Buxton,Buxton is a water brand owned by Nestle.,"The owner of the Buxton brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Buxton products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye)."
Capital One,"American bank specializing in credit cards, car loans, banking, and savings accounts","Capital One was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.",https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/,Dont bank with Capital One. Don't work for Capital One. Don't invest with Capital One.,
Carnation,Carnation is a dessert ingredients brand owned by Nestle.,"The owner of the Carnation brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Carnation products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl."
Carrefour,International supermarket,"Carrefour made huge investments into Israel last year, opening 50 stores and is planning to open a further 100 by 2024.",https://www.carrefour.com/en/news/2023/arrivee-de-carrefour-en-israel,Dont shop at Carrefour supermarkets. Don't work for Carrefour.,Local supermarkets.
Carte D'Or Ice Creams,Ice cream brand.,"Carte D'Or Ice Creams is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Carte D'Or Ice Creams products. Don't sell Carte D'Or Ice Creams products. Don't work for Unilever.,"Supermarket own brand products. Eg. Aldi, Lidl."
Caterpillar,"Heavy machinery manufacturer, which also manufactures footwear and clothing.",Caterpillar bulldozers have been used in the demolition of Palestinian homes. The D9 bulldozer was specifically designed for the IDF.,https://en.wikipedia.org/wiki/IDF_Caterpillar_D9,Don't buy Caterpillar clothes or machinery. Don't sell Caterpillar clothes or machinery. Don't work for Caterpillar.,
Celine,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Celine's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Celine products. Don't sell Celine products. Don't work for Celine or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.
Cerave,Skincare brand owned by L'Oreal,"Cerave is owned by L'Oreal. L'Oreal is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Cerave products. Don't sell Cerave products. Don't work for L'Oreal.,Lush cosmetics. Huda beauty.
Chanel,French luxury fashion house in Paris. It is privately owned by the Wertheimer family.,"Alain Wertheimer, condemned the attack on Israel but remained silent on the attacks on Gaza, also pledged $4m in Chanel's name.",https://www.universityoffashion.com/blog/#:~:text=Chanel%20was%20donating%20%244%20million,"Dont buy Chanel clothing, make up, shoes, perfumes, bags or any other products. Don't sell Chanel products. Don't work for Chanel.",Lush cosmetics. Huda beauty. Sunnamusk. Unbranded oil based perfumes.
Cheapflights,Cheapflights is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Cheapflights, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Cheapflights. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Cheapflights. Don't work for Booking Holdings.,"Use the site to find a flight, and book directly with airline."
Cheerios,Cheerios is a breakfast cereal owned by Nestle.,"The owner of the Cheerios brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Cheerios products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products. Eg. Aldi, Lidl."
Cheetos,Snack brand owned by PepsiCo,"The owner of Cheetos, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Cheetos products. Don't sell Cheetos products. Don't work for the PepsiCo Company.,Supermarket own brand options.
Cif,Household cleaning products.,"Cif is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Cif products. Don't sell Cif products. Don't work for Unilever.,Supermarket own brand products.
Clear Blue,Pregnancy care products.,"Clear Blue is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy Clear Blue products. Don't sell Clear Blue products. Don't work for Clear Blue.,Supermarket own brand products.
Clinique,"Cosmetics company, owned by Estee Lauder.","Clinique is owned by Estee Lauder, who's ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.",https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d,"Dont buy products from the vast catalogue of Estee Lauder. Brands include MAC cosmetics, Clinique, Bobbi Brown, Jo Malone, La Mer, Tom Ford Beauty and many more. Don't work for Estee Lauder brands.",Lush cosmetics. Huda beauty.
Coca-Cola,Soft drinks manufacterer,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Coca-Cola. Don't sell Coca-Cola. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru)."
Coffee Mate,Coffee Mate is an instant coffee brand owned by Nestle.,"The owner of the Coffee Mate brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Coffee Mate products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,Caffe Nero.
Comfort,Laundry detergent range.,"Comfort is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Comfort products. Don't sell Comfort products. Don't work for Unilever.,Supermarket own brand products.
Conservative party,"The UK Conservative party, headed by Rishi Sunak.",Rishi Sunak has made official statements that Conservatives stand with Israel. He also sent military assistance to help Israel in its genocide of Gaza.,https://www.theguardian.com/world/2023/oct/14/sunak-promises-israel-unqualified-support-in-face-of-evil-but-fails-to-mention-plight-of-gaza/,Don't vote for Conservatives. Don't donate to Conservatives. Don't work for Conservatives.,Abstain from voting. Vote for a small party. Also don't vote Labour.
Cornetto Ice Creams,Ice cream brand.,"Cornetto Ice Creams is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Cornetto Ice Creams products. Don't sell Cornetto Ice Creams products. Don't work for Unilever.,"Supermarket own brand products. Eg. Aldi, Lidl."
Costa Coffee,Coffee house brand owned by the Coca Cola company.,"Coca-Cola Company, which owns Costa Coffee, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Costa Coffee. Don't sell Costa Express in your business. Don't work for Costa Coffee or the Coca-Cola Company.,Caffe Nero.
Curver,Resin and plastic household products such as baskets and containers.,"The parent company of Curver operated facilities in the Occupied West Bank's Barkan Industrial Estate. After boycott pressure it seems to have closed the facility, however its history of complicity in the occupation means it should still be boycotted.",https://www.whoprofits.org/companies/company/4060,Don't buy Curver products. Don't sell Curver products.,Any other brand products in the same category.
Dasani Water,Water brand owned by the Coca Cola company.,"Coca-Cola Company which owns Dasani Water, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Dasani Water. Don't sell Dasani Water. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye)."
Dell,Computer technology company,"Michael Dell, the founder of Dell, is a member of the Friends of the IDF, which raises money for the Israeli military. He has donated millions so far and continues to do so. ",https://www.bloomberg.com/news/articles/2014-11-07/ellison-adelson-donate-to-israeli-soldiers?leadSource=uverify%20wall,"Dont buy Dell products. Don't sell Dell products. If you are a company decision maker, find alternatives to Dell products.",Lenovo.
Diesel Frangrances,Partnership between fashion house Diesel and L'Oreal to produce their frangrances range.,"Diesel Frangrances is a partnership with L'Oreal, which is a 'warm friend of Israel'. After sending a letter to the Arab League with information helping the boycott, they paid a $1.4m fine and issued an apology, before fostering a new relationship with Israel, with heavy investment and even operating a factory in Occupied Palestine.",https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,Don't buy Diesel Frangrances products. Don't sell Diesel Frangrances products. Don't work for L'Oreal Groupe.,Unbranded oil based perfumes. Sunnamusk.
Diet Coke,Soft drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Diet Coke, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Diet Coke. Don't sell Diet Coke. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru)."
Dior / Christian Dior,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Dior's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Dior products. Don't sell Dior products. Don't work for Dior or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk.
Disney,"The Walt Disney Company, commonly known as Disney, is an American multinational mass media and entertainment conglomerate ","Disney made an official announcement that it will be pledging $2m and further initiatives to support Israel. Whilst the CEO explicitly condemned attacks on Jews in Israel, he made no mention of the Palestinian people who are being killed by the Israeli military.",https://www.yahoo.com/entertainment/disney-pledges-2-million-donation-032004758.html,Don't work for Disney. Don't subscribe to Disney+. Cancel Disney+ if you have it. Don't watch Disney movies. Don't visit Disney theme parks. Don't buy Disney merchandise. Don't watch Disney TV shows.,Alchemiya.com.
DKNY,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of DKNY's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy DKNY products. Don't sell DKNY products. Don't work for DKNY or LVMH.,Unbranded oil based fragrances. Lush cosmetics. Huda beauty. Sunnamusk.
Domestos,Household cleaning products.,"Domestos is owned by Unilever. Ben & Jerry's is also owned by Unilever. When Ben & Jerry's decided to stop selling its products in Israel, Unilever sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",https://www.unilever.com/news/press-and-media/press-releases/2022/unilever-reaches-new-business-arrangement-for-ben-jerrys-in-israel/,Dont buy Domestos products. Don't sell Domestos products. Don't work for Unilever.,Supermarket own brand products.
Doritos,"Brand of flavoured tortilla snacks, a wholly owned subsidiary of PepsiCo","The owner of Doritos, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Doritos products. Don't sell Doritos products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl."
